-rw-r--r-- 1 root root 11M Dec 11 00:02 /opt/brave.com/brave/icudtl.dat
-rw-r--r-- 1 root root 11M Nov 19 15:40 /opt/google/chrome/icudtl.dat
-rw-r--r-- 1 root root 11M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libasan.so.8.0.0
-rw-rw-r-- 1 sibus sibus 11M Dec 31 01:53 /home/sibus/.phpls/3%3Aphpunit%2Fphpunit%3A11.5.3
-rw-rw-r-- 1 sibus sibus 11M Dec  5 10:41 /home/sibus/.phpls/3%3Aphpunit%2Fphpunit%3A11.5.44
-rwxr-xr-x 1 root root 11M Nov 20 02:36 /usr/lib/linux-hwe-6.14-tools-6.14.0-37/perf
-rwxr-xr-x 1 root root 11M Sep 18 03:00 /usr/lib/snapd/snap-preseed
-rwxr-xr-x 1 root root 9.7M Nov 20 13:17 /usr/bin/php8.5
-rwxr-xr-x 1 root root 9.7M Nov 20 13:17 /usr/bin/phpdbg8.5
-rw-r--r-- 1 root root 9.6M Sep 18 06:12 /usr/lib/x86_64-linux-gnu/libcrypto.a
-rw-r----- 1 syslog adm 9.1M Jan 18 00:00 /var/log/syslog.1
-rw-r--r-- 1 root root 9.1M Nov 25 18:47 /opt/az/lib/libpython3.13.a
-rw------- 1 root root 8.8M Nov 20 02:36 /boot/System.map-6.14.0-37-generic
-rw------- 1 root root 8.8M Oct 15 08:17 /boot/System.map-6.14.0-36-generic
-rw-r--r-- 1 root root 8.7M Jan  8 05:30 /usr/lib/x86_64-linux-gnu/libpython3.12.so.1.0
-rw-r--r-- 1 root root 8.6M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libtsan.so.2.0.0
-rw-r--r-- 1 root root 8.5M Mar 31  2024 /usr/lib/x86_64-linux-gnu/libplacebo.so.338
-rw-r----- 1 mysql mysql 8.2M Jan  8 04:47 /var/lib/mysql/#ib_16384_1.dblwr
-rw-r--r-- 1 root root 8.2M Mar 31  2024 /usr/lib/file/magic.mgc
-rwxr-xr-x 1 root root 8.2M Sep 18 03:00 /usr/lib/snapd/snap-recovery-chooser
-rw-r--r-- 1 root root 8.1M Aug  8  2024 /usr/lib/x86_64-linux-gnu/libicui18n.a
-rw-rw-r-- 1 sibus sibus 7.9M Jan 21 23:17 /home/sibus/Downloads/GIMS - Sapés comme jamais (Clip officiel) ft. Niska.mp3
-rw-rw-r-- 1 sibus sibus 7.9M Jan 21 23:19 /home/sibus/Downloads/reversed.mp3
-rw-r--r-- 1 root root 7.8M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/System.Private.Xml.dll
-rw-r--r-- 1 root root 7.8M Jan 27  2025 /usr/lib/x86_64-linux-gnu/libgtk-3.so.0.2409.32
-rwxr-xr-x 1 root root 7.7M Jan  8 05:30 /usr/bin/python3.12
-rwxr-xr-x 1 root root 7.7M Jul 14  2025 /usr/bin/gnome-control-center
-rwxr-xr-x 1 root root 7.6M Sep 18 03:00 /usr/lib/snapd/snap-repair
